iter	Passed	Remaining
722	4696	2637
723	4702	2630
724	4708	2623
725	4714	2616
726	4720	2610
727	4726	2603
728	4731	2596
729	4737	2589
730	4743	2582
731	4751	2576
732	4761	2572
733	4768	2566
734	4775	2559
735	4781	2553
736	4787	2546
737	4793	2539
738	4799	2532
739	4805	2526
740	4811	2519
741	4817	2512
742	4823	2505
743	4830	2499
744	4840	2494
745	4849	2489
746	4859	2485
747	4869	2480
748	4876	2474
749	4886	2469
750	4893	2462
751	4899	2456
752	4905	2449
753	4911	2442
754	4917	2435
755	4923	2429
756	4929	2422
757	4935	2415
758	4941	2408
759	4948	2402
760	4958	2397
761	4968	2393
762	4979	2388
763	4987	2382
764	4993	2376
765	4999	2369
766	5005	2362
767	5011	2355
768	5018	2349
769	5024	2342
770	5029	2335
771	5035	2328
772	5041	2321
773	5047	2314
774	5052	2307
775	5058	2301
776	5064	2294
777	5070	2287
778	5076	2280
779	5082	2274
780	5088	2267
781	5094	2260
782	5100	2253
783	5105	2246
784	5112	2240
785	5118	2233
786	5123	2226
787	5129	2219
788	5135	2212
789	5141	2206
790	5147	2199
791	5153	2192
792	5160	2186
793	5166	2179
794	5172	2173
795	5178	2166
796	5185	2159
797	5191	2153
798	5197	2146
799	5203	2140
800	5210	2133
801	5216	2126
802	5222	2120
803	5228	2113
804	5234	2106
805	5242	2100
806	5250	2095
807	5256	2088
808	5262	2081
809	5268	2075
810	5275	2068
811	5282	2062
812	5288	2055
813	5293	2048
814	5301	2042
815	5309	2036
816	5318	2031
817	5326	2025
818	5333	2018
819	5344	2014
820	5354	2008
821	5361	2002
822	5367	1995
823	5373	1988
824	5379	1982
825	5385	1975
826	5391	1969
827	5397	1962
828	5403	1955
829	5409	1948
830	5416	1942
831	5422	1935
832	5428	1928
833	5434	1922
834	5440	1915
835	5446	1908
836	5452	1902
837	5458	1895
838	5464	1888
839	5471	1882
840	5478	1875
841	5484	1869
842	5491	1862
843	5497	1856
844	5504	1850
845	5510	1843
846	5516	1836
847	5522	1830
848	5528	1823
849	5534	1816
850	5539	1809
851	5545	1803
852	5551	1796
853	5563	1791
854	5574	1786
855	5581	1780
856	5587	1773
857	5593	1766
858	5599	1760
859	5607	1754
860	5615	1748
861	5622	1741
862	5628	1734
863	5633	1727
864	5639	1721
865	5645	1714
866	5651	1707
867	5657	1701
868	5663	1694
869	5673	1688
870	5681	1682
871	5687	1676
872	5693	1669
873	5699	1662
874	5706	1656
875	5712	1649
876	5718	1643
877	5724	1636
878	5730	1629
879	5736	1623
880	5742	1616
881	5749	1609
882	5755	1603
883	5761	1596
884	5770	1590
885	5780	1585
886	5789	1579
887	5797	1573
888	5808	1568
889	5818	1562
890	5827	1556
891	5835	1550
892	5844	1544
893	5856	1539
894	5862	1532
895	5868	1526
896	5877	1520
897	5888	1514
898	5897	1508
899	5906	1502
900	5917	1497
901	5926	1491
902	5932	1484
903	5939	1478
904	5946	1471
905	5952	1465
906	5958	1458
907	5964	1451
908	5970	1444
909	5976	1438
910	5982	1431
911	5988	1424
912	5994	1418
913	6001	1411
914	6007	1405
915	6013	1398
916	6018	1391
917	6024	1384
918	6030	1378
919	6036	1371
920	6042	1364
921	6048	1357
922	6054	1351
923	6060	1344
924	6067	1338
925	6078	1332
926	6085	1326
927	6091	1319
928	6097	1312
929	6103	1305
930	6109	1299
931	6115	1292
932	6121	1286
933	6127	1279
934	6137	1273
935	6146	1267
936	6152	1260
937	6159	1254
938	6164	1247
939	6170	1240
940	6176	1233
941	6181	1227
942	6187	1220
943	6193	1213
944	6202	1207
945	6213	1201
946	6223	1196
947	6234	1190
948	6245	1184
949	6254	1178
950	6260	1171
951	6266	1165
952	6272	1158
953	6278	1151
954	6284	1145
955	6290	1138
956	6296	1131
957	6302	1125
958	6309	1118
959	6315	1111
960	6321	1105
961	6327	1098
962	6333	1091
963	6339	1085
964	6345	1078
965	6351	1071
966	6357	1065
967	6363	1058
968	6369	1051
969	6377	1045
970	6384	1038
971	6390	1032
972	6400	1026
973	6407	1019
974	6413	1013
975	6420	1006
976	6428	1000
977	6434	993
978	6440	986
979	6446	980
980	6452	973
981	6457	966
982	6467	960
983	6474	954
984	6480	947
985	6486	940
986	6492	934
987	6499	927
988	6507	921
989	6517	915
990	6528	909
991	6534	902
992	6540	895
993	6546	889
994	6553	882
995	6559	875
996	6565	869
997	6571	862
998	6578	856
999	6584	849
1000	6590	842
1001	6596	836
1002	6602	829
1003	6608	822
1004	6615	816
1005	6621	809
1006	6628	803
1007	6633	796
1008	6639	789
1009	6646	783
1010	6652	776
1011	6662	770
1012	6669	763
1013	6676	757
1014	6682	750
1015	6688	743
1016	6695	737
1017	6701	730
1018	6707	724
1019	6713	717
1020	6719	710
1021	6726	704
1022	6732	697
1023	6738	690
1024	6745	684
1025	6751	677
1026	6757	671
1027	6763	664
1028	6772	658
1029	6779	651
1030	6785	644
1031	6791	638
1032	6799	631
1033	6810	625
1034	6818	619
1035	6824	612
1036	6830	606
1037	6836	599
1038	6843	592
1039	6849	586
1040	6855	579
1041	6861	572
1042	6868	566
1043	6875	559
1044	6881	553
1045	6888	546
1046	6894	539
1047	6901	533
1048	6907	526
1049	6914	520
1050	6925	514
1051	6934	507
1052	6942	501
1053	6948	494
1054	6957	488
1055	6964	481
1056	6970	474
1057	6976	468
1058	6983	461
1059	6989	454
1060	6995	448
1061	7005	441
1062	7016	435
1063	7024	429
1064	7035	422
1065	7044	416
1066	7052	409
1067	7058	403
1068	7064	396
1069	7070	389
1070	7076	383
1071	7083	376
1072	7090	370
1073	7100	363
1074	7107	357
1075	7114	350
1076	7120	343
1077	7127	337
1078	7137	330
1079	7144	324
1080	7150	317
1081	7155	310
1082	7161	304
1083	7170	297
1084	7177	291
1085	7183	284
1086	7189	277
1087	7195	271
1088	7201	264
1089	7207	257
1090	7213	251
1091	7220	244
1092	7226	238
1093	7232	231
1094	7239	224
1095	7245	218
1096	7253	211
1097	7259	204
1098	7265	198
1099	7271	191
1100	7277	185
1101	7284	178
1102	7289	171
1103	7296	165
1104	7302	158
1105	7308	151
1106	7314	145
1107	7321	138
1108	7328	132
1109	7334	125
1110	7341	118
1111	7347	112
1112	7353	105
1113	7360	99
1114	7367	92
1115	7377	85
1116	7395	79
1117	7406	72
1118	7416	66
1119	7425	59
1120	7438	53
1121	7447	46
1122	7457	39
1123	7468	33
1124	7474	26
1125	7480	19
1126	7486	13
1127	7492	6
1128	7499	0
